a,"
'''a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
cai,"
'''cai''' <small>[right scaler]</small> — critical, extreme intensity
:'''oi cai''' — ''Ah, pain, I'm going to lose consciousness now!!!''"
cakla,"
'''cakla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some chocolate or cocoa
:'''lo cakla''' — chocolate. 
:'''mi nelci lo blabi cakla ne se mau lo manku cakla''' — ''I prefer white chocolate to dark chocolate.''
:Related words: '''ckafi'''"
calku,"
'''calku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a shell or husk around  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo calku''' — shell. 
:'''mi nitcu lo calku be lo stedu''' — ''I need a head helmet.''
:Related words: '''pilka''', '''skapi''', '''gacri''', '''bartu'''"
canci,"
'''canci''' — ''x<sub>1</sub><sub>(entity)</sub>''  vanishes from location  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''do canci lo jvinu be fi mi''' — ''You disappeared from my view.''
:Related words: '''cliva''', '''ganse''', '''zgana''', '''lebna''', '''vimcu'''"
cange,"
'''cange''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a farm or ranch at  ''x<sub>2</sub><sub>(entity)</sub>''  farmed by  ''x<sub>3</sub><sub>(entity)</sub>''  that raises or produces  ''x<sub>4</sub><sub>(entity)</sub>'' 
:'''lo cange''' — farm. '''lo te cange''' — farmer. '''lo ve cange''' — farm production. 
:'''ti cange lo barda tumla lo mensi be mi lo vanjba''' — ''This is a farm covering a large parcel of land; it's kept by my sister and produces grapes.''
:Related words: '''purdi''', '''nurma''', '''ferti''', '''foldi''', '''xarju'''"
canja,"
'''canja''' — ''x<sub>1</sub><sub>(entity)</sub>''  trades commodity  ''x<sub>2</sub><sub>(entity, property of x1)</sub>''  for  ''x<sub>3</sub><sub>(entity, property of x4)</sub>''  with  ''x<sub>4</sub><sub>(entity)</sub>'' 
:'''lo canja''' — trader. '''lo se canja''' — commodity. 
:'''e'u mi canja lo bidju lo ka jarco lo tatru be do mi vau do''' — ''Let me give you these beads in exchange that you show me your breast.''
:Comment: '''jdima''' is for cost/price/value distinction.
:Related words: '''dunda''', '''friti''', '''vecnu''', '''zarci''', '''jdini''', '''pleji''', '''jdima''', '''jerna''', '''kargu''', '''banxa''', '''cirko''', '''dunda''', '''janta''', '''kargu''', '''prali''', '''sfasa''', '''zivle'''"
canko,"
'''canko''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a window or portal in wall or building  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo canko''' — window. '''lo se canko''' — building with a window. 
:'''lo canko be lo karce cu kalri''' — ''The window in the car is open.''
:Related words: '''vorme''', '''bitmu''', '''ganlo''', '''murta''', '''pagre''', '''kevna''', '''jvinu''', '''kalri''', '''kuspe'''"
canlu,"
'''canlu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a space or room occupied by  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo canlu''' — space. 
:'''lo canlu be lo purdi cu barda''' — ''The garden occupies a large space.''
:Related words: '''kensa''', '''bliku''', '''kumfa''', '''kevna''', '''kunti''', '''tubnu''', '''dekpu'''"
canpa,"
'''canpa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a shovel or spade for doing  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo canpa''' — shovel. 
:'''ti canpa lo nu kakpa lo dertu vau ji lo nu katna lo genja''' — ''Is this spade for digging ground or for cutting roots?''
:Related words: '''kakpa''', '''guska''', '''tutci'''"
canre,"
'''canre''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some sand or grit
:'''lo canre''' — sand. 
:'''mi pu tolcri lo jamfu prina be lo canre''' — ''I found some footprints in the sand.''
:'''mi pu se nandu lo ka cadzu lo canre poi gunma lo cmalu rokci''' — ''It was hard for me to walk on the sand made of small stones.''
:Related words: '''bidju''', '''rokci''', '''zalvi''', '''boxna'''"
canti,"
'''canti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the intestines or guts of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo canti''' — intestine, gut. 
:'''lo jurme co'a xabju lo canti be lo cifnu ba zi lo nu ri jbena''' — ''Bacteria colonize the intestines of a child soon after it is born.''
:Related words: '''betfu'''"
carce,"
'''carce''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a carriage or wagon with wheels for carrying  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo carce''' — carriage. '''lo se carce''' — cargo of a carriage. 
:'''mi sazri lo carce be lo karce''' — ''I am driving a car transporter.''
:Comment: '''carce''' is designed to be with wheels, '''marce''' isn't and is more generic.
:Related words: '''karce''', '''xislu''', '''marce''', '''matra'''"
carmi,"
'''carmi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is bright or intense in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo carmi''' — bright, intense. 
:'''ei do carmi lo ka tadni''' — ''You should study hard.''
:'''lo vi bombila cu carmi lo ka te gusni''' — ''This light bulb gives a bright light.''
:Related words: '''denmi''', '''gusni''', '''kandi''', '''ruble''', '''skari''', '''tilju''', '''tsali''', '''mutce''', '''blabi''', '''blanu''', '''bunre''', '''cicna''', '''crino''', '''grusi''', '''narju''', '''nukni''', '''pelxu''', '''xekri''', '''xunre''', '''zirpu'''"
carna,"
'''carna''' — ''x<sub>1</sub><sub>(entity)</sub>''  turns or rotates around axis  ''x<sub>2</sub><sub>(entity)</sub>''  in direction  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo carna''' — rotating. '''lo se carna''' — axis of rotation. '''lo te carna''' — direction of rotation. 
:'''ko carna fe'e mo'u lo pritu''' — ''Turn right.''
:'''ko pritu carna''' — ''Turn right.''
:'''lo xislu pu carna lo grana lo zunle ma'i lo galtu''' — ''The wheel was rotating around the rod counterclockwise when viewed from above.''
:Comment: in x<sub>3</sub> use '''lo pritu''' for clockwise movement and '''zunle''' for counterclockwise movement.
:Related words: '''gunro''', '''jendu'''"
cartu,"
'''cartu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a chart or diagram of  ''x<sub>2</sub><sub>(entity)</sub>''  showing information  ''x<sub>3</sub><sub>(proposition)</sub>'' 
:'''lo cartu''' — chart. '''lo se cartu''' — picture on a chart. 
:'''ti cartu lo fange tcadu lo dargu''' — ''This is a map showing roads of an alien city.''
:'''ko jarco fi mi fe lo cartu be lo pu nai se zvati be mi'o''' — ''Show me a map of a place where you and I haven't been.''
:Related words: '''platu'''"
carvi,"
'''carvi''' — ''x<sub>1</sub><sub>(entity)</sub>''  rains or showers to  ''x<sub>2</sub><sub>(entity)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo carvi''' — rain. '''lo te carvi''' — rain cloud. 
:'''ca ca'o carvi''' — ''It's raining.''
:'''lo snime pu carmi carvi lo lalxu lo barda dilnu''' — ''It was snowing hard onto the lake from a large cloud.''
:Related words: '''bratu''', '''dilnu''', '''santa''', '''snime''', '''tcima''', '''bisli''', '''bumru'''"
casnu,"
'''casnu''' — ''x<sub>1</sub><sub>(entity group)</sub>''  discuss  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo casnu''' — debaters. '''lo se casnu''' — topic of a discussion. 
:'''ra ce mi pu casnu lo arte''' — ''She and I discussed a piece of art.''
:Related words: '''bacru''', '''cusku''', '''darlu''', '''tavla'''"
catke,"
'''catke''' — ''x<sub>1</sub><sub>(entity)</sub>''  shoves or pushes  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''ko catke la'e me'o so pa pa''' — ''Dial 911!''
:'''le nixli pu catke le nanla re'o lo stedu be ri''' — ''The girl pushed the boy on his head.''
:Comment: '''danre''' is for non-agentive force.
:Related words: '''danre''', '''darxi''', '''lacpu'''"
catlu,"
'''catlu''' — ''x<sub>1</sub><sub>(entity)</sub>''  looks at  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''ko catlu mi''' — ''Look at me.''
:Related words: '''jvinu''', '''minra''', '''simlu''', '''viska''', '''lanli''', '''zgana''', '''setca''', '''viska'''"
catni,"
'''catni''' — ''x<sub>1</sub><sub>(entity)</sub>''  has authority over matter  ''x<sub>2</sub><sub>(property of x1)</sub>''  on the basis of  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo catni''' — someone with authority. 
:'''mi co'a catni lo ka te cange ti vau lo ka te permite mi lo patfu be mi''' — ''The authority to be a farmer on this land has been given to me by my father.''
:Related words: '''turni''', '''tutra''', '''krati''', '''jaspu''', '''pulji'''"
catra,"
'''catra''' — ''x<sub>1</sub><sub>(entity)</sub>''  kills  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo catra''' — killer. '''lo se catra''' — killed. 
:'''le nakni cu kakne lo ka catra re cipni se pi'o pa rokci''' — ''He can kill two birds with one stone.''
:Related words: '''morsi''', '''xarci'''"
cau,"
'''cau''' <small>[preposition from '''claxu''']</small> — ''lacked by ...''"
caucni,"
'''caucni''' — ''x<sub>1</sub><sub>(entity)</sub>''  misses, feels the lack of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''mi caucni do''' — ''I miss you.''
:Related words: '''claxu''', '''cinmo''', '''badri''', '''klaku''', '''gleki''', '''betri'''"
caxno,"
'''caxno''' — ''x<sub>1</sub><sub>(entity)</sub>''  is shallow in direction  ''x<sub>2</sub><sub>(entity)</sub>''  away from reference point  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo caxno''' — shallow. 
:'''lo vi lalxu cu caxno lo ka tsuku lo loldi be ce'u vau lo sefta''' — ''This lake is shallow in reaching the bottom from the surface.''
:Related words: '''condi''', '''tordu''', '''jarki''', '''cinla''', '''cmalu''', '''jarki''', '''jmifa'''"
ce,"
'''ce''' <small>[conjunction]</small> — ''along with...'', ''and also ...''
:'''do ce mi casnu lo za'u bangu''' — ''You and I discussed languages.''
:Comment: joins nouns to create a new noun of group type.
:Related words: '''je''', '''e'''"
ce'i,"
'''ce'i''' <small>[digit/number]</small> —  '%' (percentage symbol), hundredths
:'''ji'i mu no ce'i lo remna cu ninmu''' — ''Approximately 50% of humans are women.''"
ce'o,"
'''ce'o''' <small>[conjunction]</small> — ''and then ...'' (forms ordered sequence)
:'''li pa ce'o li re ce'o li ci cu porsi''' — ''1,2,3 is a sequence.''
:Comment: joins nouns to create a new noun of ordered group type.
:Related words: '''ce''', '''je''', '''e'''"
ce'u,"
'''ce'u''' <small>[pronoun]</small> — inside an abstraction of a verb '''ce'u''' refers to another place of that verb
:'''mi nitcu lo ka da tavla ce'u''' — ''I need someone to talk to me.''
:Comment: definitions of verbs show which place '''ce'u''' refers to. If not explicitly stated then '''ce'u''' refers to the first place of the verb. To refer to the head of a relative clause use '''ke'a'''."
cecla,"
'''cecla''' — ''x<sub>1</sub><sub>(entity)</sub>''  launches projectile or missile  ''x<sub>2</sub><sub>(entity)</sub>'' ; x<sub>1</sub> is a gun
:'''lo cecla''' — gun. '''lo se cecla''' — missile. 
:'''ti cecla lo fagri''' — ''This is a fire gun.''
:Related words: '''renro''', '''danti''', '''jakne''', '''jbama''', '''spoja'''"
cecmu,"
'''cecmu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a community or colony of organisms  ''x<sub>2</sub><sub>(entity group)</sub>'' 
:'''lo cecmu''' — community. '''lo se cecmu''' — member of a community. 
:'''lo cecmu be lo cipni mo'u muvdu lo vi tcadu''' — ''The colony of birds moved to this city.''
:Related words: '''bende''', '''kulnu''', '''natmi''', '''tcadu''', '''jecta''', '''girzu'''"
cedra,"
'''cedra''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an era or age characterized by  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo cedra''' — era. 
:'''lo cabna cu cedra lo nu pilno lo skami''' — ''These days are the era of using computers.''
:Related words: '''ranji''', '''temci''', '''citsi'''"
cei,"
'''cei''' — ''that will from now on be called ...'' (main verb follows)
:'''mi ba klama cei broda lo zarci i au do broda''' — ''I will go to the store. I'd like you go there too.''
:Comment: '''cei''' copies the whole main verb with all its places that can later be filled with another nouns."
cenba,"
'''cenba''' — ''x<sub>1</sub><sub>(entity)</sub>''  varies in  ''x<sub>2</sub><sub>(property of x1)</sub>''  in amount  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cenba''' — variable. 
:'''do cenba lo ni ma kau se cpedu vau lo barda''' — ''Your demands vary to much degree.''
:Comment: '''binxo''' describes that entity turns into another entity, '''galfi''' is ''to turn one entity into another one''. '''cenba''' describes how entity changes its state while remaining the same entity, '''stika''' is ''to make entity change its state''.
:Related words: '''cenba''', '''galfi''', '''stika''', '''stodi''', '''zasni''', '''binxo'''"
censa,"
'''censa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is holy or sacred to  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo censa''' — holy. 
:'''lo bu'u tcadu cu censa ro lo prenu pe vi''' — ''This city is holy to all people here.''
:Related words: '''cevni''', '''krici''', '''latna''', '''pruxi''', '''lijda''', '''sinma'''"
centero,"
'''centero''' — ''x<sub>1</sub><sub>(entity)</sub>''  is in the center of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo centero''' — center. 
:'''lo vi tcadu cu centero lo gugde''' — ''This city is in the center of the country.''
:Comment: '''lo''' '''midju''' is ''center point'', '''lo''' '''centero''' is ''central subset'' (of a set or territory), '''lo''' '''kernelo''' is ''core''.
:Related words: '''xadba'''"
centi,"
'''centi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a hundredth of  ''x<sub>2</sub><sub>(same type as x1)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo centi''' — 1/100_. 
:'''le insekto cu centi be lo mitre lo ka clani''' — ''The insect is 1 centimeter long.''
:Related words: '''grake''', '''mitre''', '''snidu''', '''stero''', '''delno''', '''molro''', '''kelvo''', '''xampo''', '''gradu''', '''litce''', '''merli''', '''decti''', '''dekto''', '''femti''', '''gigdo''', '''gocti''', '''gotro''', '''kilto''', '''megdo''', '''mikri''', '''milti''', '''nanvi''', '''petso''', '''picti''', '''terto''', '''xatsi''', '''xecto''', '''xexso''', '''zepti''', '''zetro'''"
cerda,"
'''cerda''' — ''x<sub>1</sub><sub>(entity)</sub>''  inherits  ''x<sub>2</sub><sub>(property of x1 and x3)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>''  according to rule  ''x<sub>4</sub><sub>(proposition)</sub>'' 
:'''lo cerda''' — inheritor, heir. '''lo se cerda''' — inherited, heritage. 
:'''mi cerda lo dinju lo patfu be mi lo se djica be ri''' — ''I inherited the house from my father according to his will.''
:Related words: '''jgina'''"
cermurse,"
'''cermurse''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the dawn of day  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cermurse''' — dawn. 
:'''mi ba klama lo boske ca lo cermurse be lo bavlamdei''' — ''I will go to forest tomorrow at dawn.''
:Related words: '''cerni''', '''kandi''', '''vanci'''"
cerni,"
'''cerni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a morning of day  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cerni''' — morning. 
:'''cerni coi''' — ''Good morning!''
:'''ti cerni lo cnino djedi''' — ''It is the morning of a new day.''
:Related words: '''vanci''', '''cermurse''', '''vacmurse''', '''tcika'''"
certu,"
'''certu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is skilled at  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo certu''' — expert. '''lo se certu''' — field of expertise. 
:'''fau ei ro da mi se zu'e se marvele lo nu le prenu cu xo kau va'e certu lo ka limna''' — ''I cannot but wonder at his skill in swimming.''
:Related words: '''djuno''', '''stati''', '''kakne'''"
cevni,"
'''cevni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a god of people or religion  ''x<sub>2</sub><sub>(entity)</sub>''  with dominion over  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo cevni''' — god. 
:'''do cevni mi lo nu carvi''' — ''You are a god of rain for me.''
:Related words: '''censa''', '''krici''', '''lijda''', '''malsi'''"
cfari,"
'''cfari''' — ''x<sub>1</sub><sub>(clause)</sub>''  commences, begins, or starts
:'''lo cfari''' — beginning, start. 
:'''de'i li cy xo lo se tigni cu cfari''' — ''At what time does the performance begin?''
:Related words: '''sisti''', '''krasi''', '''fanmo''', '''incipe''', '''ultime''', '''mulno'''"
cfika,"
'''cfika''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a work of fiction about plot or theme  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cfika''' — work of fiction. '''lo se cfika''' — plot of a work of fiction. 
:'''la'e lu la Lunra cu kusru turni li'u cfika lo logji bangu''' — ''The Moon is a harsh mistress is a fiction about logical languages.''
:Related words: '''cukta''', '''lisri''', '''prosa''', '''fatci''', '''jitfa''', '''jetnu''', '''xanri'''"
cfila,"
'''cfila''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is a flaw or defect in  ''x<sub>2</sub><sub>(entity)</sub>''  causing  ''x<sub>3</sub><sub>(clause)</sub>'' 
:'''lo cfila''' — flaw. '''lo se cfila''' — flawed. 
:'''mi se cfila lo nu lo drata cu xanka''' — ''I have my faults making other nervous.''
:Related words: '''cikre''', '''srera''', '''fenra''', '''fliba''', '''prane'''"
cfine,"
'''cfine''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a wedge
:'''lo cfine''' — wedge. 
:'''mi pu setca lo cfine lo loldi te zu'e lo nu lo vorme co'a kalri''' — ''I drove the wedge into the floor so that the door was open.''
:Related words: '''tutci'''"
cfipu,"
'''cfipu''' — ''x<sub>1</sub><sub>(clause)</sub>''  confuses, baffles observer  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cfipu''' — confusing. '''lo se cfipu''' — confused, baffled. 
:'''zo zabna jai cfipu mi fai lo ka se smuni''' — ''To me '''zabna''' is confusing in meaning.''
:'''do je'a xu se cfipu lo ka jdice lo ka zukte ma kau''' — ''Are you really confused of deciding what to do?''
:Related words: '''pluja''', '''senpi''', '''zunti'''"
ci,"
'''ci''' <small>[digit/number]</small> — ''3'', ''three''
:'''ci delfinu ca limna ne'a lo korbi''' — ''There are three dolphins swimming near the shore.''"
ci'angulo,"
'''ci'angulo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a triangle
:'''lo ci'angulo''' — triangle. 
:'''ma se sinxa lo vi ci'angulo''' — ''What does this triangle signify?''"
ci'e,"
'''ci'e''' <small>[preposition from '''ciste''']</small> — ''in system/context ...''
:'''ci'e la Internet lo vrici prenu ka'e simxu lo ka jikca''' — ''In the system of the internet, various people can socialize with each other.''"
ci'i,"
'''ci'i''' <small>[digit/number]</small> — infinite number
:'''ci'i da te cuxna''' — ''There is an infinite number of possibilities.''
:'''ci'i da te cuxna fi pa prenu i je ci'i re da te cuxna fi re prenu''' — ''There is an infinite number of possibilities for one man, and twice as many for two men.''
:Comment: when followed by digits denotes aleph cardinality."
ciblu,"
'''ciblu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is blood or vital fluid of organism  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo ciblu''' — blood. 
:'''lo ciblu be mi cu klesi li a bu ma'u bu''' — ''My blood type is A positive.''
:Related words: '''risna''', '''flu'ente'''"
cicna,"
'''cicna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is torquoise or cyan
:'''lo cicna''' — cyan (color). 
:'''lo vanci tsani co'a cicna''' — ''The evening sky became turquoise.''
:Related words: '''skari''', '''blabi''', '''xekri''', '''kandi''', '''carmi''', '''crino''', '''blanu'''"
cidja,"
'''cidja''' — ''x<sub>1</sub><sub>(entity)</sub>''  is food or nutriment for  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cidja''' — food. 
:'''lo rectu na cidja lo xirma''' — ''Meat is not a food for horses.''
:'''mi nelci lo jungo cidja''' — ''I like Chinese food.''
:Related words: '''citka''', '''nitcu''', '''pinxe''', '''xagji''', '''cpina'''"
cidni,"
'''cidni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a knee, elbow, or other hinged joint of limb  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cidni''' — knee, elbow. 
:'''lo cidni be lo tuple be mi cu se xrani''' — ''My knee is injured.''
:Related words: '''korcu''', '''jarco''', '''jganu'''"
cidro,"
'''cidro''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a quantity of hydrogen
:'''lo cidro''' — hydrogen. 
:'''lo cidro cu linto traji se ratni''' — ''Hydrogen is the lightest element.''
:Related words: '''gapci''', '''xukmi'''"
cifnu,"
'''cifnu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a baby, young living being of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cifnu''' — baby, young living being, infant. 
:'''xu lo cifnu xa'o jimpe lo lojbo se cusku''' — ''Does the infant understand Lojban yet?''
:Related words: '''makcu''', '''verba''', '''citno''', '''panzi'''"
cigla,"
'''cigla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a gland secreting  ''x<sub>2</sub><sub>(entity)</sub>''  in body  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cigla''' — gland. '''lo se cigla''' — secretion of a gland. 
:'''ti cigla lo xasne lo remna''' — ''This human gland secrets sweat.''
:Related words: '''vikmi''', '''xasne'''"
cikna,"
'''cikna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is awake
:'''lo cikna''' — someone awake. 
:'''xu su'o lo do cikna''' — ''Is any of you awake?''
:'''mi pu co'a clira cikna''' — ''I got up early.''
:'''ko jai gau cikna fai mi de'i li cy bi''' — ''Wake me up at 8.''
:Related words: '''sanji''', '''sipna''', '''tatpi'''"
cikre,"
'''cikre''' — ''x<sub>1</sub><sub>(entity)</sub>''  repairs or mends  ''x<sub>2</sub><sub>(entity)</sub>''  for use  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo cikre''' — repairer. '''lo se cikre''' — repaired. 
:'''mi cikre lo spofu stizu lo ka ka'e se zutse''' — ''I repair the chair so that one can sit on it.''
:Related words: '''cfila''', '''spofu'''"
ciksi,"
'''ciksi''' — ''x<sub>1</sub><sub>(entity)</sub>''  explains  ''x<sub>2</sub><sub>(proposition)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>''  with explanation  ''x<sub>4</sub><sub>(proposition)</sub>'' 
:'''lo ciksi''' — expounder. '''lo ve ciksi''' — explanation. 
:'''mi pu ciksi fi lo ctuca fe lo nu mi na zvati lo nu penmi vau fo lo nu mi na pu djuno lo du'u ei mi zvati nu bu''' — ''I explained to the teacher my absence at the meeting that I didn't know that I should've been there.''
:Related words: '''cipra''', '''danfu''', '''jalge''', '''jinvi''', '''krinu''', '''mukti''', '''nabmi''', '''retsku''', '''rinka''', '''sidbo''', '''zukte''', '''tavla'''"
cilce,"
'''cilce''' — ''x<sub>1</sub><sub>(entity)</sub>''  is wild or untamed
:'''lo cilce''' — wild. 
:'''lo vi foldi cu cilce''' — ''This field is untamed.''
:'''ra sazri lo cilce xirma''' — ''He rides an untamed horse.''
:Related words: '''pinfu''', '''panpi''', '''tarti'''"
cilmo,"
'''cilmo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is moist or damp with liquid  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cilmo''' — damp, moist, wet. 
:'''ko lumci lo canko se pi'o lo cilmo bukpu''' — ''Clean the window with a damp cloth.''
:Related words: '''litki''', '''lunsa''', '''sudga'''"
cilre,"
'''cilre''' — ''x<sub>1</sub><sub>(entity)</sub>''  learns some fact or information  ''x<sub>2</sub><sub>(proposition)</sub>''  about  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cilre''' — learner. '''lo se cilre''' — learned. 
:'''mi cilre fi la Lojban''' — ''I learn Lojban.''
:'''mi pu cilre lo du'u lo remna na smani''' — ''I learnt that humans are not monkeys.''
:'''mi tcidu mu'i lo ka cilre''' — ''I read in order to learn.''
:Related words: '''ctuca''', '''tadni''', '''djuno''', '''ckule'''"
cilta,"
'''cilta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a thread, wire, filament
:'''lo cilta''' — thread (cord), cord. 
:'''mi pu katna lo cilta ci da''' — ''I cut the wire into three pieces.''
:Comment: unlike '''skori''' doesnt describe the object as consisting of more than one filament.
:Related words: '''fenso''', '''nivji''', '''skori''', '''silka'''"
cimde,"
'''cimde''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a dimension of space or object  ''x<sub>2</sub><sub>(entity)</sub>''  according to rule or model  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo cimde''' — dimension. 
:'''lo mitre be li re cu cimde lo kumfa lo ka clani''' — ''Two meters is the dimension of the room in length.''
:Related words: '''morna''', '''ckilu''', '''merli''', '''manri'''"
cimni,"
'''cimni''' — ''x<sub>1</sub><sub>(entity)</sub>''  in infinite in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo cimni''' — infinite. 
:'''si'au lo nu penmi cu cimni lo ka ditcu''' — ''It seems to me, the meeting will never end.''
:'''le munje ci cimni lo ka se canlu''' — ''The world is infinite in space.''
:Related words: '''vitno''', '''renvi''', '''munje''', '''fanmo''', '''sisti'''"
cinba,"
'''cinba''' — ''x<sub>1</sub><sub>(entity)</sub>''  kisses  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo se cinba''' — kissed. 
:'''mi pu cinba ra re'o lo kerlo''' — ''I kissed her in the ear.''
:Related words: '''ctebi'''"
cindu,"
'''cindu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an oak of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cindu''' — oak. 
:'''xu da cindu bu'u lo cmana''' — ''Are there oak trees on the mountain?''
:Related words: '''tricu'''"
cinfo,"
'''cinfo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a lion of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cinfo''' — lion. 
:'''mi pu se spaji lo ka viska lo cinfo''' — ''I was surprised to see a lion.''
:Related words: '''bramlatu''', '''mlatu'''"
cinje,"
'''cinje''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a wrinkle in  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cinje''' — wrinkle. '''lo se cinje''' — wrinkled. 
:'''da cinje lo bukpu''' — ''There are creases in the cloth.''
:'''gau ko ri xutla''' — ''Smooth out it.''
:Related words: '''korcu''', '''polje''', '''boxfo''', '''boxna'''"
cinki,"
'''cinki''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an arthropod of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cinki''' — arthropod. 
:'''lo insekto cu cinki''' — ''Insects are arthropods.''
:Related words: '''insekto''', '''civla''', '''danlu''', '''blato''', '''ankabuta''', '''manti''', '''sfani''', '''toldi''', '''bifce'''"
cinla,"
'''cinla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is thin in length/width etc.  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo cinla''' — thin. 
:'''le ninmu cu cinla lo ka se tuple''' — ''The woman has thin legs.''
:Comment: the third largest dimension. '''tordu''', '''jarki''' and '''cinla''' specify the three dimensions of objects.
:Related words: '''rotsu''', '''jarki''', '''tordu''', '''cmalu''', '''caxno''', '''plana''', '''jarki'''"
